μῆνιν|μῆνις
ἐπάλξιες|ἔπαλξις
αὐτέων|αὐτός
ἀλλήλων|ἀλλήλων
εὐκύκλους|εὔκυκλος
λαισήϊά|λαισήιον
οὐτάζοντο|οὐτάζω
στρεφθέντι|στρέφω
μετάφρενα|μετάφρενον
γυμνωθείη|γυμνόω
μαρναμένων|μάρναμαι
πύργοι|πύργος
φωτῶν|φώς
ἐρράδατ̓|ῥαίνω
ποιῆσαι|ποιέω
τάλαντα|τάλαντον
χερνῆτις|χερνῆτις
ἀληθής|ἀληθής
σταθμὸν|σταθμόν
ἔχουσα|ἔχω
εἴριον|ἔριον
ἀνέλκει|ἀνέλκω
ἰσάζουσ̓|ἰσάζω
παισὶν|παῖς
μισθὸν|μισθός
ἄρηται|αἴρω
τέτατο|τείνω
πτόλεμός|πόλεμος
Πριαμίδῃ|Πριαμίδης
ἐσήλατο|εἰσάλλομαι
ὄρνυσθ̓|ὄρνυμι
ἱππόδαμοι|ἱππόδαμος
ῥήγνυσθε|ῥήγνυμι
ἐνίετε|ἐνίημι
φάτ̓|φημί
οὔασι|οὖς
ἄκουον|ἀκούω
ἴθυσαν|ἰθύω
κροσσάων|κρόσσαι
ἐπέβαινον|ἐπιβαίνω
ἀκαχμένα|ἀκαχμένος
ἁρπάξας|ἁρπάζω
λᾶαν|λᾶας
πρυμνὸς|πρυμνός
παχύς|παχύς
ὀξὺς|ὀξύς
ἄμαξαν|ἄμαξα
οὔδεος|οὖδας
ὀχλίσσειαν|ὀχλίζω
πάλλε|πάλλω
ἐλαφρὸν|ἐλαφρός
Κρόνου|Κρόνος
ἀγκυλομήτεω|ἀγκυλομήτης
ποιμὴν|ποιμήν
πόκον|πόκος
ἄρσενος|ἄρσην
οἰὸς|ὄις
ἑτέρῃ|ἕτερος
ἄχθος|ἄχθος
ἐπείγει|ἐπείγω
σανίδων|σανίς
εἴρυντο|ἐρύω
στιβαρῶς|στιβαρός
δικλίδας|δικλίς
ὑψηλάς|ὑψηλός
δοιοὶ|δοιοί
ὀχῆες|ὀχεύς
εἶχον|ἔχω
ἐπημοιβοί|ἐπημοιβός
μία|εἷς
κληῒς|κλείς
ἐπαρήρει|ἐπαραρίσκω
ἐρεισάμενος|ἐρείδω
μέσσας|μέσος
διαβάς|διαβαίνω
ἀφαυρότερον|ἀφαυρός
ῥῆξε|ῥήγνυμι
ἀμφοτέρους|ἀμφότερος
θαιρούς|θαιρός
λίθος|λίθος
βριθοσύνῃ|βριθοσύνη
πύλαι|πύλη
μύκον|μυκάομαι
ἐσχεθέτην|ἔχω
σανίδες|σανίς
ἄλλη|ἄλλος
λᾶος|λᾶας
ῥιπῆς|ῥιπή
ἔσθορε|εἰσθρῴσκω
ἀτάλαντος|ἀτάλαντος
ὑπώπια|ὑπώπιον
λάμπε|λάμπω
σμερδαλέῳ|σμερδαλέος
ἕεστο|ἕννυμι
χροΐ|χρώς
δοιὰ|δοιοί
δοῦῤ|δόρυ
ἐρύκακεν|ἐρύκω
ἐσᾶλτο|εἰσάλλομαι
ὑπερβαίνειν|ὑπερβαίνω
ὀτρύνοντι|ὀτρύνω
ὑπέρβασαν|ὑπερβαίνω
ποιητὰς|ποιητός
ἐσέχυντο|εἰσχέω
φόβηθεν|φοβέω
ὅμαδος|ὅμαδος
ἀλίαστος|ἀλίαστος
Τρῶάς|Τρώς
πέλασσε|πελάζω
ἐχέμεν|ἔχω
ὀϊζὺν|ὀιζύς
νωλεμέως|νωλεμές
τρέπεν|τρέπω
φαεινὼ|φαεινός
ἱπποπόλων|ἱπποπόλος
καθορώμενος|καθοράω
αἶαν|αἶα
Μυσῶν|Μυσός
ἀγχεμάχων|ἀγχέμαχος
ἀγαυῶν|ἀγαυός
ἱππημολγῶν|ἱππημολγοί
γλακτοφάγων|γλακτοφάγος
Ἀβίων|<UNK>
δικαιοτάτων|δίκαιος
φαεινώ|φαεινός
ἐλθόντ̓|ἔρχομαι
ἀρηξέμεν|ἀρήγω
θαυμάζων|θαυμάζω
ἀκροτάτης|ἄκρος
κορυφῆς|κορυφή
Σάμου|Σάμος
ὑληέσσης|ὑλήεις
Θρηϊκίης|Θράκιος
ἐφαίνετο|φαίνω
Ἴδη|Ἴδη
ἐλέαιρε|ἐλεαίρω
δαμναμένους|δαμνάω
ἐνεμέσσα|νεμεσάω
ὄρεος|ὄρος
κατεβήσετο|καταβαίνω
παιπαλόεντος|παιπαλόεις
κραιπνὰ|κραιπνός
ποσὶ|πούς
προβιβάς|προβιβάω
τρέμε|τρέμω
οὔρεα|ὄρος
ὕλη|ὕλη
ποσσὶν|πούς
Ποσειδάωνος|Ποσειδεών
ἰόντος|εἰμί
ὀρέξατ̓|ὀρέγω
τέτρατον|τέταρτος
Αἰγάς|Αἰγαί
βένθεσι|βένθος
λίμνης|λίμνη
χρύσεα|χρύσεος
τετεύχαται|τεύχω
ἄφθιτα|ἄφθιτος
τιτύσκετο|τιτύσκομαι
χαλκόποδ̓|χαλκόπους
ἵππω|ἵππος
ὠκυπέτα|ὠκυπέτης
χρυσέῃσιν|χρύσεος
ἐθείρῃσιν|ἔθειρα
κομόωντε|κομάω
γέντο|γέντο
ἱμάσθλην|ἱμάσθλη
χρυσείην|χρύσεος
ἐλάαν|ἐλαύνω
κύματ̓|κῦμα
ἄταλλε|ἀτάλλω
κήτἐ|κῆτος
πάντοθεν|πάντοθεν
κευθμῶν|κευθμός
γηθοσύνῃ|γηθοσύνη
θάλασσα|θάλασσα
διίστατο|διίστημι
πέτοντο|πέτομαι
ὑπένερθε|ὑπένερθε
διαίνετο|διαίνω
χάλκεος|χάλκεος
ἐΰσκαρθμοι|εὔσκαρθμος
σπέος|σπέος
μεσσηγὺς|μεσηγύ
Ἴμβρου|Ἴμβρος
παιπαλοέσσης|παιπαλόεις
ἔστησε|ἵστημι
λύσας|λύω
ἀμβρόσιον|ἀμβρόσιος
εἶδαρ|εἶδαρ
ἔδμεναι|ἔδω
πέδας|πέδη
ἔβαλε|βάλλω
χρυσείας|χρύσεος
ἀρρήκτους|ἄρρηκτος
ἀλύτους|ἄλυτος
μένοιεν|μένω
νοστήσαντα|νοστέω
φλογὶ|φλόξ
θυέλλῃ|θύελλα
ἄμοτον|ἄμοτον
ἄβρομοι|ἄβρομος
αὐΐαχοι|αὐίαχος
αἱρήσειν|αἱρέω
κτενέειν|κτείνω
γαιήοχος|γαιήοχος
εἰσάμενος|εἴδομαι
Κάλχαντι|Κάλχας
ἀτειρέα|ἀτειρής
φωνήν|φωνή
πρώτω|πρῶτος
μεμαῶτε|μέμαα
αὐτώ|αὐτός
σαώσετε|σώζω
μνησαμένω|μιμνήσκω
κρυεροῖο|κρυερός
δείδια|δείδω
ὑπερκατέβησαν|ὑπερκαταβαίνω
ἕξουσιν|ἔχω
αἰνότατον|αἰνός
πάθωμεν|πάσχω
λυσσώδης|λυσσώδης
εἴκελος|εἴκελος
ἡγεμονεύει|ἡγεμονεύω
εὔχετ̓|εὔχομαι
ἐρισθενέος|ἐρισθενής
ποιήσειεν|ποιέω
ἀνωγέμεν|ἄνωγα
ἐσσύμενόν|σεύω
ἐρωήσαιτ̓|ἐρωέω
ἐγείρει|ἐγείρω
σκηπανίῳ|σκηπάνιον
κεκόπων|κόπτω
πλῆσεν|πίμπλημι
κρατεροῖο|κρατερός
ἔθηκεν|τίθημι
ἐλαφρὰ|ἐλαφρός
ἴρηξ|ἱέραξ
ὠκύπτερος|ὠκύπτερος
πέτεσθαι|πέτομαι
αἰγίλιπος|αἰγίλιψ
περιμήκεος|περιμήκης
ἀρθεὶς|αἴρω
ὁρμήσῃ|ὁρμάω
ὄρνεον|ὄρνεον
Ὀϊλῆος|Ὀι
ταχὺς|ταχύς
ἔχουσι|ἔχω
μάντεϊ|μάντις
εἰδόμενος|εἴδομαι
οἰωνιστής|οἰωνιστής
ἴχνια|ἴχνιον
ποδῶν|πούς
κνημάων|κνήμη
ῥεῖ̓|ῥεῖα
ἀρίγνωτοι|ἀρίγνωτος
φίλοισι|φίλος
ἐφορμᾶται|ἐφορμάω
μαιμώωσι|μαιμάω
δούρατι|δόρυ
ἄαπτοι|ἄαπτος
μαιμῶσιν|μαιμάω
ὤρορε|ὄρνυμι
ἔσσυμαι|σεύω
ἀμφοτέροισι|ἀμφότερος
μενοινώω|μενοινάω
μεμαῶτι|μέμαα
τοιαῦτα|τοιοῦτος
ἀγόρευον|ἀγορεύω
χάρμῃ|χάρμη
γηθόσυνοι|γηθόσυνος
ἔμβαλε|ἐμβάλλω
ἀνέψυχον|ἀναψύχω
ἀργαλέῳ|ἀργαλέος
λέλυντο|λύω
ἐγίγνετο|γίγνομαι
δερκομένοισι|δέρκομαι
εἰσορόωντες|εἰσοράω
φεύξεσθαι|φεύγω
μετεισάμενος|μεταίζω
Τεῦκρον|τεῦκρος
Λήϊτον|Λήι
Πηνέλεών|Πηνέλεως
Θόαντά|Θόας
Δηΐπυρόν|Δηιπυρός
Μηριόνην|Μηριόνης
Ἀντίλοχον|Ἀντίλοχος
μήστωρας|μήστωρ
ἀϋτῆς|ἀυτή
αἰδὼς|αἰδώς
μαρναμένοισι|μάρναμαι
πέποιθα|πείθω
σαωσέμεναι|σώζω
μεθήσετε|μεθίημι
λευγαλέοιο|λευγαλέος
δαμῆναι|δαμάζω
ὁρῶμαι|ὁράω
τελευτήσεσθαι|τελευτάω
ἔφασκον|φάσκω
ἡμετέρας|ἡμέτερος
φυζακινῇς|φυζακινός
ἐλάφοισιν|ἔλαφος
ἐοίκεσαν|ἔοικα
θώων|θώς
παρδαλίων|πάρδαλις
λύκων|λύκος
ἤϊα|ἤια
ἠλάσκουσαι|ἠλάσκω
ἀνάλκιδες|ἄναλκις
χάρμη|χάρμη
μίμνειν|μίμνω
ἐθέλεσκον|ἐθέλω
ἠβαιόν|ἠβαιός
ἑκὰς|ἑκάς
ἡγεμόνος|ἡγεμών
κακότητι|κακότης
μεθημοσύνῃσί|μεθημοσύνη
ἐρίσαντες|ἐρίζω
ἀμυνέμεν|ἀμύνω
κτείνονται|κτείνω
αὐτάς|αὐτός
αἴτιός|αἴτιος
ἀπητίμησε|ἀπατιμάω
ποδώκεα|ποδώκης
μεθιέμεναι|μεθίημι
ἀκεώμεθα|ἀκέομαι
ἀκεσταί|ἀκεστός
ἐσθλῶν|ἐσθλός
μαχεσσαίμην|μάχομαι
μεθείη|μεθίημι
νεμεσσῶμαι|νεμεσάω
κῆρι|κῆρ
πέπονες|πέπων
ποιήσετε|ποιέω
μεθημοσύνῃ|μεθημοσύνη
θέσθε|τίθημι
αἰδῶ|αἰδώς
νέμεσιν|νέμεσις
πολεμίζει|πολεμίζω
ἔρρηξεν|ῥήγνυμι
κελευτιόων|κελευτιάω
Αἴαντας|Αἴας
δοιοὺς|δοιοί
καρτεραί|καρτερός
Ἄρης|Ἄρης
ὀνόσαιτο|ὄνομαι
μετελθὼν|μετέρχομαι
λαοσσόος|λαοσσόος
κρινθέντες|κρίνω
ἔμιμνον|μίμνω
προθελύμνῳ|προθέλυμνος
ἀσπίδ̓|ἀσπίς
ἔρειδε|ἐρείδω
κόρυν|κόρυς
ἀνέρα|ἀνήρ
ψαῦον|ψαύω
ἱππόκομοι|ἱππόκομος
λαμπροῖσι|λαμπρός
φάλοισι|φάλος
νευόντων|νεύω
πυκνοὶ|πυκνός
ἐφέστασαν|ἐφίστημι
ἐπτύσσοντο|πτύσσω
σειόμεν̓|σείω
φρόνεον|φρονέω
προὔτυψαν|προτύπτω
ὀλοοίτροχος|ὀλοοίτροχος
στεφάνης|στεφάνη
χειμάρροος|χειμάρροος
ὤσῃ|ὠθέω
ῥήξας|ῥήγνυμι
ἀσπέτῳ|ἄσπετος
ἀναιδέος|ἀναιδής
ὕψι|ὕψι
ἀναθρῴσκων|ἀναθρῴσκω
πέτεται|πέτομαι
κτυπέει|κτυπέω
ἀσφαλέως|ἀσφαλής
θέει|θέω
ἰσόπεδον|ἰσόπεδον
ἀπείλει|ἀπειλέω
μέχρι|μέχρι
διελεύσεσθαι|διέρχομαι
κτείνων|κτείνω
πυκινῇς|πυκινός
ἐνέκυρσε|ἐγκύρω
φάλαγξι|φάλαγξ
ἐγχριμφθείς|ἐγχρίμπτω
ξίφεσίν|ξίφος
ἔγχεσιν|ἔγχος
ἀμφιγύοισιν|ἀμφίγυος
ὦσαν|ὠθέω
σφείων|σφεῖς
χασσάμενος|χάζω
πελεμίχθη|πελεμίζω
παρμένετ̓|παραμένω
σχήσουσιν|ἔχω
χάσσονται|χάζω
ἔγχεος|ἔγχος
κοῦφα|κοῦφος
προβιβὰς|προβίβημι
ὑπασπίδια|ὑπασπίδιος
προποδίζων|προποδίζω
καυλῷ|καυλός
ἐάγη|ἄγνυμι
δολιχὸν|δολιχός
σχέθ̓|ἔχω
ἕο|ἕ
δεῖσε|δείδω
Μηριόναο|Μηριόνης
χώσατο|χώομαι
ἀμφότερον|ἀμφότερος
νίκης|νίκη
ξυνέαξε|συνάγνυμι
οἰσόμενος|φέρω
κλισίηφι|κλισία
Ἴμβριον|Ἴμβριος
πολυΐππου|πολύιππος
Μέντορος|Μέντωρ
ναῖε|ναίω
Πήδαιον|Πήδαιος
νόθην|νόθος
Μηδεσικάστην|Μηδεσικάστη
νέες|ναῦς
ἀμφιέλισσαι|ἀμφιέλισσα
μετέπρεπε|μεταπρέπω
Πριάμῳ|Πρίαμος
τίεν|τίω
τέκεσσι|τέκος
Τελαμῶνος|Τελαμών
οὔατος|οὖς
μακρῷ|μακρός
μελίη|μελία
ἕκαθεν|ἕκαθεν
περιφαινομένοιο|περιφαίνομαι
ταμνομένη|τέμνω
τέρενα|τέρην
πελάσσῃ|πελάζω
πέσεν|πίπτω
ὁρμήθη|ὁρμάω
δῦσαι|δύω
ὁρμηθέντος|ὁρμάω
ἄντα|ἄντα
ἠλεύατο|ἀλέομαι
Ἀμφίμαχον|̓ἀμφίμαχος
Κτεάτου|Κτέατος
υἷ̓|υἱός
Ἀκτορίωνος|Ἀκτορίων
νισόμενον|νίσσομαι
ἀράβησε|ἀραβέω
κροτάφοις|κρόταφος
ἀραρυῖαν|ἀραρίσκω
ἀφαρπάξαι|ἀφαρπάζω
Ἀμφιμάχοιο|Ἀμφίμαχος
ὀρέξατο|ὀρέγω
πῃ|πη
κεκάλυφθ̓|καλύπτω
ὀμφαλὸν|ὀμφαλός
χάσσατ̓|χάζω
νεκρῶν|νεκρός
ἐξείρυσσαν|ἐξερύω
Στιχίος|Στιχίος
Μενεσθεὺς|Μενεσθεύς
ἀρχοὶ|ἀρχός
Ἀθηναίων|Ἀθηναῖος
κόμισαν|κομίζω
μεμαότε|μέμαα
αἶγα|αἴξ
καρχαροδόντων|καρχαρόδων
ἁρπάξαντε|ἁρπάζω
φέρητον|φέρω
ῥωπήϊα|ῥωπήιον
γαμφηλῇσιν|γαμφηλαί
ἔχοντε|ἔχω
κορυστὰ|κορυστός
συλήτην|συλάω
ἁπαλῆς|ἁπαλός
δειρῆς|δειρή
κόψεν|κόπτω
Ὀϊλιάδης|Ὀι
σφαιρηδὸν|σφαιρηδόν
ἐχολώθη|χολόω
υἱωνοῖο|υἱωνός
αἰνῇ|αἰνός
δηϊοτῆτι|δηιοτής
ὀτρυνέων|ὀτρύνω
Δαναούς|Δαναοί
κήδεα|κῆδος
τεῦχεν|τεύχω
ἀντεβόλησεν|ἀντιβολέω
ἐρχόμενος|ἔρχομαι
ἰγνύην|ἰγνύα
ἔνεικαν|φέρω
ἰητροῖς|ἰατρός
ἤϊεν|εἶμι
μενοίνα|μενοινάω
ἀντιάαν|ἀντιάω
φθογγὴν|φθογγή
Ἀνδραίμονος|Ἀνδραίμων
υἷϊ|υἱός
Θόαντι|Θόας
πάσῃ|πᾶς
Πλευρῶνι|Πλευρών
αἰπεινῇ|αἰπεινός
Καλυδῶνι|Καλυδών
Αἰτωλοῖσιν|Αἰτωλός
Ἰδομενεῦ|Ἰδομενεύς
Κρητῶν|Κρής
βουληφόρε|βουληφόρος
ἀπειλαὶ|ἀπειλή
οἴχονται|οἴχομαι
ἀπείλεον|ἀπειλέω
ἀγὸς|ἀγός
Θόαν|Θόας
αἴτιος|αἴτιος
ἐπιστάμεθα|ἐπίσταμαι
πτολεμίζειν|πολεμίζω
ἴσχει|ἴσχω
ἀνδύεται|ἀναδύνω
ὑπερμενέϊ|ὑπερμενής
ἦσθα|εἰμί
ὀτρύνεις|ὀτρύνω
ἴδηαι|εἶδον
ἀπόληγε|ἀπολήγω
κέλευέ|κελεύω
φωτὶ|φώς
κεῖνος|κεῖνος
νοστήσειεν|νοστέω
Τροίης|Τροία
μέλπηθρα|μέλπηθρα
τῷδε|ὅδε
μεθίῃσι|μεθίημι
σπεύδειν|σπεύδω
ὄφελός|ὄφελος
συμφερτὴ|συμφερτός
ἀρετὴ|ἀρετή
πέλει|πέλω
λυγρῶν|λυγρός
ἀγαθοῖσιν|ἀγαθός
ἐπισταίμεσθα|ἐπίσταμαι
ἵκανε|ἱκάνω
δύσετο|δύω
ἀστεροπῇ|ἀστεροπή
ἐναλίγκιος|ἐναλίγκιος
ἐτίναξεν|τινάσσω
δεικνὺς|δείκνυμι
βροτοῖσιν|βροτός
ἀρίζηλοι|ἀρίζηλος
αὐγαί|αὐγή
ἔλαμπε|λάμπω
θέοντος|θέω
Μηριόνη|Μηριόνης
Μόλου|Μόλος
ταχὺ|ταχύς
φίλταθ̓|φίλτατος
ἦλθες|ἔρχομαι
πόλεμόν|πόλεμος
λιπὼν|λείπω
βέλεος|βέλος
τείρει|τείρω
ἦέ|ἤ
ἀγγελίης|ἀγγελία
ἤλυθες|ἔρχομαι
λιλαίομαι|λιλαίομαι
πεπνυμένος|πέπνυμαι
κατεάξαμεν|κατάγνυμι
ἔχεσκον|ἔχω
Δηϊφόβοιο|Δηίφοβος
ὑπερηνορέοντος|ὑπερηνορέων
ἓν|εἷς
δήεις|δήω
ἐνώπια|ἐνώπια
παμφανόωντα|παμφανόων
Τρώϊα|Τρώιος
κταμένων|κτείνω
ἀποαίνυμαι|ἀπαίνυμαι
δούρατά|δόρυ
θώρηκες|θώραξ
γανόωντες|γανόω
λελασμένον|λάζομαι
ἵσταμαι|ἵστημι
ὀρώρηται|ὄρνυμι
ἄλλόν|ἄλλος
μαρνάμενος|μάρναμαι
ἴδμεναι|οἶδα
ἀρετὴν|ἀρετή
οἷός|οἷος
λέγεσθαι|λέγω
λεγοίμεθα|λέγω
μάλιστ̓|μάλιστα
διαείδεται|διαείδω
δειλὸς|δειλός
ἐξεφαάνθη|ἐκφαίνω
τρέπεται|τρέπω
χρὼς|χρώς
ἀτρέμας|ἀτρέμας
ἐρητύετ̓|ἐρητύω
μετοκλάζει|μετοκλάζω
ἵζει|ἵζω
μεγάλα|μέγας
στέρνοισι|στέρνον
πατάσσει|πατάσσω
ὀϊομένῳ|οἴομαι
πάταγος|πάταγος
ἀγαθοῦ|ἀγαθός
ἐπειδὰν|ἐπειδάν
ἐσίζηται|εἰσίζομαι
ἀρᾶται|ἀράομαι
τάχιστα|ταχύς
μιγήμεναι|μίγνυμι
δαῒ|δάι
λυγρῇ|λυγρός
τεόν|τεός
ὄνοιτο|ὄνομαι
βλεῖο|βάλλω
πονεύμενος|πονέω
τυπείης|τύπτω
πέσοι|πίπτω
νώτῳ|νῶτον
στέρνων|στέρνον
νηδύος|νηδύς
ἀντιάσειε|ἀντιάζω
ἱεμένοιο|ἵημι
ὀαριστύν|ὀαριστύς
μηκέτι|μηκέτι
λεγώμεθα|λέγω
νηπύτιοι|νηπύτιος
ὑπερφιάλως|ὑπερφίαλος
νεμεσήσῃ|νεμεσάω
ἕλευ|αἱρέω
θοῷ|θοός
ἀνείλετο|ἀναιρέω
μεμηλώς|μέλω
βροτολοιγὸς|βροτολοιγός
μέτεισι|μέτειμι
ἀταρβὴς|ἀταρβής
ταλάφρονά|ταλάφρων
πολεμιστήν|πολεμιστής
Θρῄκης|Θρᾴκη
Ἐφύρους|Ἐφύρα
θωρήσσεσθον|θωρήσσω
Φλεγύας|Φλέγυας
μεγαλήτορας|μεγαλήτωρ
ἑτέροισι|ἕτερος
ἔδωκαν|δίδωμι
τοῖοι|τοῖος
κεκορυθμένοι|κορύσσω
αἴθοπι|αἶθοψ
Δευκαλίδη|Δευκαλίδης
μέμονας|μέμονα
δεξιόφιν|δεξιός
παντὸς|πᾶς
μέσσους|μέσος
ἀριστερόφιν|ἀριστερός
ἔλπομαι|ἔλπω
δεύεσθαι|δεύω
κομόωντας|κομάω
μέσσῃσιν|μέσος
ἀμύνειν|ἀμύνω
Αἴαντές|Αἴας
Τεῦκρός|Τεῦκρος
τοξοσύνῃ|τοξοσύνη
σταδίῃ|στάδιος
ἅδην|ἅδην
ἐλόωσι|ἐλαύνω
ἐσσύμενον|ἐσσύμενος
ἐσσεῖται|εἰμί
κείνων|ἐκεῖνος
νικήσαντι|νικάω
ἐνιπρῆσαι|ἐμπίμπρημι
ἐμβάλοι|ἐμβάλλω
αἰθόμενον|αἴθω
δαλὸν|δαλός
εἴξειε|εἴκω
θνητός|θνητός
ἔδοι|ἔδω
Δημήτερος|Δημήτηρ
ἀκτὴν|ἀκτή
ῥηκτὸς|ῥηκτός
ῥηξήνορι|ῥηξήνωρ
χωρήσειεν|χωρέω
αὐτοσταδίῃ|αὐτοσταδίη
ἐρίζειν|ἐρίζω
ἀριστέῤ|ἀριστερός
ἀνώγει|ἄνωγα
εἴκελον|εἴκελος
ἀλκὴν|ἀλκή
ἔντεσι|ἔντεα
δαιδαλέοισι|δαιδάλεος
ὁμὸν|ὁμός
ἵστατο|ἵστημι
πρυμνῇσι|πρυμνός
νέεσσιν|ναῦς
λιγέων|λιγύς
ἀνέμων|ἄνεμος
σπέρχωσιν|σπέρχω
ἄελλαι|ἄελλα
πλείστη|πλεῖστος
κόνις|κόνις
κελεύθους|κέλευθος
ἱστᾶσιν|ἵστημι
ὀμίχλην|ὁμίχλη
ὁμόσ̓|ὁμόσε
ἐναιρέμεν|ἐναίρω
ἔφριξεν|φρίσσω
φθισίμβροτος|φθισίμβροτος
ἐγχείῃσι|ἐγχείη
μακρῇς|μακρός
ταμεσίχροας|ταμεσίχρως
ἄμερδεν|ἀμέρδω
αὐγὴ|αὐγή
κορύθων|κόρυς
λαμπομενάων|λάμπω
θωρήκων|θώραξ
νεοσμήκτων|νεόσμηκτος
φαεινῶν|φαεινός
ἐρχομένων|ἔρχομαι
γηθήσειεν|γηθέω
ἀκάχοιτο|ἀχεύω
κραταιὼ|κραταιός
ἡρώεσσιν|ἥρως
ἐτεύχετον|τεύχω
λυγρά|λυγρός
βούλετο|βούλομαι
νίκην|νίκη
ταχύν|ταχύς
ὀλέσθαι|ὄλλυμι
Ἀχαιϊκὸν|Ἀχαιικός
Θέτιν|θέτις
κύδαινε|κυδαίνω
υἱέα|υἱός
καρτερόθυμον|καρτερόθυμος
ὀρόθυνε|ὀροθύνω
λάθρῃ|λάθρῃ
ὑπεξαναδὺς|ὑπεξαναδύομαι
ἀμφοτέροισιν|ἀμφότερος
ἴα|εἷς
πάτρη|πάτρη
γεγόνει|γίγνομαι
πλείονα|πλείων
ἀμφαδίην|ἀμφάδιος
κρατερῆς|κρατερός
ὁμοιΐου|ὁμοίιος
πεῖραρ|πεῖραρ
ἐπαλλάξαντες|ἐπαλλάσσω
ἄρρηκτόν|ἄρρηκτος
ἄλυτόν|ἄλυτος
μεσαιπόλιός|μεσαιπόλιος
κελεύσας|κελεύω
πέφνε|θείνω
Ὀθρυονῆα|Ὀθρυονεύς
Καβησόθεν|Καβησόθεν
ᾔτεε|αἰτέω
θυγατρῶν|θυγάτηρ
ἀρίστην|ἄριστος
Κασσάνδρην|Κασσάνδρη
ἀνάεδνον|ἀνάεδνος
ἀέκοντας|ἀέκων
ἀπωσέμεν|ἀπωθέω
μάρναθ̓|μάρναμαι
ὑποσχεσίῃσι|ὑποσχεσίη
βιβάντα|βίβημι
τυχών|τυγχάνω
ἤρκεσε|ἀρκέω
θώρηξ|θώραξ
φορέεσκε|φορέω
μέσῃ|μέσος
γαστέρι|γαστήρ
πῆξε|πήγνυμι
Ὀθρυονεῦ|Ὀθρυονεύς
βροτῶν|βροτός
αἰνίζομ̓|αἰνίζω
τελευτήσεις|τελευτάω
ὅσ̓|ὅσος
ὑπέστης|ὑφίστημι
Δαρδανίδῃ|Δαρδανίδης
ὑποσχόμενοι|ὑπισχνέομαι
τελέσαιμεν|τελέω
δοῖμεν|δίδωμι
ἐξαγαγόντες|ἐξάγω
ὀπυιέμεν|ὀπυίω
ἄμμιν|ἐγώ
Ἰλίου|Ἴλιος
ἐκπέρσῃς|ἐκπέρθω
συνώμεθα|συνίημι
ποντοπόροισιν|ποντόπορος
γάμῳ|γάμος
ἐεδνωταὶ|ἑδνωτής
κακοί|κακός
εἰμεν|εἰμί
Ἰδομενεύς|Ἰδομενεύς
ἐπαμύντωρ|ἐπαμύντωρ
πνείοντε|πνέω
βαλεῖν|βάλλω
φθάμενος|φθάνω
λαιμὸν|λαιμός
ἀνθερεῶνα|ἀνθερεών
χαλκὸν|χαλκός
ἔλασσεν|ἐλαύνω
ἤριπεν|ἐρείπω
ἀχερωῒς|ἀχερωίς
πίτυς|πίτυς
βλωθρή|βλωθρός
τέκτονες|τέκτων
πελέκεσσι|πέλεκυς
νεήκεσι|νεηκής
νήϊον|νήιος
τανυσθεὶς|τανύω
βεβρυχὼς|βρυχάομαι
κόνιος|κόνις
δεδραγμένος|δράσσομαι
αἱματοέσσης|αἱματόεις
πλήγη|πλήσσω
εἶχεν|ἔχω
ἐτόλμησεν|τολμάω
στρέψαι|στρέφω
Ἀντίλοχος|Ἀντίλοχος
μενεχάρμης|μενεχάρμης
περόνησε|περονάω
ἀσθμαίνων|ἀσθμαίνω
εὐεργέος|εὐεργής
ἔκπεσε|ἐκπίπτω
ἐξέλασε|ἐξελαύνω
Ἀσίου|Ἄσιος
κρύφθη|κρύπτω
ἀσπίδι|ἀσπίς
ἐΐσῃ|ἴσος
νώροπι|νῶροψ
δινωτὴν|δινωτός
κανόνεσσ̓|κανών
ἐάλη|εἴλω
ὑπέρπτατο|ὑπερπέτομαι
καρφαλέον|καρφαλέος
ἐπιθρέξαντος|ἐπιτρέχω
ἄϋσεν|αὔω
ἅλιόν|ἅλιος
βαρείης|βαρύς
Ὑψήνορα|Ὑψήνωρ
ἔλυσε|λύω
ἔκπαγλον|ἔκπαγλος
ἄτιτος|ἄτιτος
κεῖτ̓|κεῖμαι
Ἄϊδός|Αἵδης
πυλάρταο|πυλάρτης
γηθήσειν|γηθέω
ὤπασα|ὀπάζω
πομπόν|πομπός
Ἀντιλόχῳ|̓ἀντίλοχος
ὄρινεν|ὀρίνω
ἀμέλησεν|ἀμελέω
περίβη|περιβαίνω
ἀμφεκάλυψε|ἀμφικαλύπτω
ὑποδύντε|ὑποδύομαι
ἐρίηρες|ἐρίηρος
Μηκιστεὺς|Μηκιστεύς
Ἐχίοιο|Ἐχίος
Ἀλάστωρ|Ἀλάστωρ
γλαφυρὰς|γλαφυρός
φερέτην|φέρω
βαρέα|βαρύς
στενάχοντα|στενάχω
ἐρεβεννῇ|ἐρεβεννός
καλύψαι|καλύπτω
δουπῆσαι|δουπέω
Αἰσυήταο|Αἰσυήτης
ἥρὠ|ἥρως
Ἀλκάθοον|Ἀλκάθοος
ὤπυιε|ὀπυίω
Ἱπποδάμειαν|Ἱπποδάμεια
φίλησε|φιλέω
μεγάρῳ|μέγαρον
ὁμηλικίην|ὁμηλικία
ἐκέκαστο|καίνυμαι
κάλλεϊ|κάλλος
ἔργοισιν|ἔργον
φρεσί|φρήν
τοὔνεκα|τοὔνεκα
γῆμεν|γαμέω
εὐρείῃ|εὐρύς
τόθ̓|τότε
